,MP_timestamp,MP_price_in_stable
465,2022-04-11,47932160545.34704
466,2022-04-12,47932160545.34704
467,2022-04-13,47932160545.34704
468,2022-04-14,47932160545.34704
469,2022-04-15,47932160545.34704
470,2022-04-16,47932160545.34704
471,2022-04-17,47921230477.93556
472,2022-04-18,47921230477.93556
473,2022-04-19,47974891467.62981
474,2022-04-20,48012186623.25169
475,2022-04-21,48012186623.25169
476,2022-04-22,48012186623.25169
477,2022-04-23,48012186623.25169
478,2022-04-24,47974891467.62981
479,2022-04-25,47974891467.62981
480,2022-04-26,48012186623.25169
481,2022-04-27,48012186623.25169
482,2022-04-28,48012186623.25169
483,2022-04-29,48012186623.25169
484,2022-04-30,48012186623.25169
485,2022-05-01,48012186623.25169
486,2022-05-02,48012186623.25169
487,2022-05-03,48012186623.25169
488,2022-05-04,47977884552.260086
489,2022-05-05,48003825432.19259
490,2022-05-06,48003825432.19259
491,2022-05-07,48003899494.365654
492,2022-05-08,48003899494.365654
493,2022-05-09,48003899494.365654
494,2022-05-10,48003899494.365654
495,2022-05-11,48003899494.365654
496,2022-05-12,48003899494.365654
497,2022-05-13,48003899494.365654
498,2022-05-14,48003899494.365654
499,2022-05-15,48012315769.24688
500,2022-05-16,48012315769.24688
501,2022-05-17,48012660525.68816
502,2022-05-18,48012660525.68816
503,2022-05-19,48012660525.68816
504,2022-05-20,48012660525.68816
505,2022-05-21,48012660525.68816
506,2022-05-22,48012660525.68816
507,2022-05-23,48012660525.68816
508,2022-05-24,48052731294.046616
509,2022-05-25,48012660525.68816
510,2022-05-26,48051053807.305244
511,2022-05-27,48052087162.37307
512,2022-05-28,48052087162.37307
513,2022-05-29,48052087162.37307
514,2022-05-30,48059264287.391335
515,2022-05-31,48059264287.391335
516,2022-06-01,48059264287.391335
517,2022-06-02,48066055973.854996
518,2022-06-03,48067349500.73094
519,2022-06-04,48066999471.10461
520,2022-06-05,48067200718.42867
521,2022-06-06,48069290103.293015
522,2022-06-07,48069267711.99941
523,2022-06-08,48069267711.99941
524,2022-06-09,48070671976.75917
525,2022-06-10,48070671976.75917
526,2022-06-11,48081941986.53809
527,2022-06-12,48081941986.53809
528,2022-06-13,48081941986.53809
529,2022-06-14,48086429527.13904
530,2022-06-15,48082467748.184586
531,2022-06-16,48090585687.99089
532,2022-06-17,48097505831.921486
533,2022-06-18,48095388677.99583
534,2022-06-19,48096377185.05563
535,2022-06-20,48092886795.31341
536,2022-06-21,48092942154.24062
537,2022-06-22,48092942154.24062
538,2022-06-23,48092305144.98993
539,2022-06-24,48092305144.98993
540,2022-06-25,48092305144.98993
541,2022-06-26,48092305144.98993
542,2022-06-27,48092305144.98993
543,2022-06-28,48092305144.98993
544,2022-06-29,48092305144.98993
545,2022-06-30,48092305144.98993
546,2022-07-01,48066099758.180275
547,2022-07-02,48066099758.180275
548,2022-07-03,48066099758.180275
549,2022-07-04,48066099758.180275
550,2022-07-05,48066099758.180275
551,2022-07-06,48066099758.180275
552,2022-07-07,48066099758.180275
553,2022-07-08,48087250743.15361
554,2022-07-09,48087250743.15361
555,2022-07-10,48087250743.15361
556,2022-07-11,48087250743.15361
557,2022-07-12,48087250743.15361
558,2022-07-13,48087250743.15361
559,2022-07-14,48087250743.15361
560,2022-07-15,48088350009.5694
561,2022-07-16,48088350009.5694
562,2022-07-17,48088350009.5694
563,2022-07-18,48088350009.5694
564,2022-07-19,48088350009.5694
565,2022-07-20,48088350009.5694
566,2022-07-21,48088350009.5694
567,2022-07-22,48088056455.352325
568,2022-07-23,48088056455.352325
569,2022-07-24,48088056455.352325
570,2022-07-25,48088056455.352325
571,2022-07-26,48088056455.352325
572,2022-07-27,48088056455.352325
573,2022-07-28,48088056455.352325
574,2022-07-29,48069149845.27013
575,2022-07-30,48069149845.27013
576,2022-07-31,48069149845.27013
577,2022-08-01,48069149845.27013
578,2022-08-02,48069149845.27013
579,2022-08-03,48069149845.27013
580,2022-08-04,48069149845.27013
581,2022-08-05,48065061162.45848
582,2022-08-06,48065061162.45848
583,2022-08-07,48065061162.45848
584,2022-08-08,48065061162.45848
585,2022-08-09,48065061162.45848
586,2022-08-10,48065061162.45848
587,2022-08-11,48065061162.45848
588,2022-08-12,48064092733.8894
589,2022-08-13,48064250877.122055
590,2022-08-14,48063299156.15366
591,2022-08-15,48063038786.65936
592,2022-08-16,48062604496.58071
593,2022-08-17,48072818265.27412
594,2022-08-18,48074176838.31793
595,2022-08-19,48069848735.375435
596,2022-08-20,48064911331.89012
597,2022-08-21,48065032737.418175
598,2022-08-22,48065032737.418175
599,2022-08-23,48065032737.418175
600,2022-08-24,48065032737.418175
601,2022-08-25,48065032737.418175
602,2022-08-26,48065032737.418175
603,2022-08-27,48069636481.07075
604,2022-08-28,48069636481.07075
605,2022-08-29,48069636481.07075
606,2022-08-30,48069636481.07075
607,2022-08-31,48069636481.07075
608,2022-09-01,48069636481.07075
609,2022-09-02,48069636481.07075
610,2022-09-03,48053123707.38573
611,2022-09-04,48053123707.38573
612,2022-09-05,48053123707.38573
613,2022-09-06,48053123707.38573
614,2022-09-07,48053123707.38573
615,2022-09-08,48053123707.38573
616,2022-09-09,48053123707.38573
617,2022-09-10,48069895291.10692
618,2022-09-11,48069895291.10692
619,2022-09-12,48069895291.10692
620,2022-09-13,48069895291.10692
621,2022-09-14,48069895291.10692
622,2022-09-15,48069895291.10692
623,2022-09-16,48069895291.10692
624,2022-09-17,48069355355.45233
625,2022-09-18,48069355355.45233
626,2022-09-19,48069355355.45233
627,2022-09-20,48069355355.45233
628,2022-09-21,48069355355.45233
629,2022-09-22,48069355355.45233
630,2022-09-23,48069355355.45233
